"day","shipping_city","shipping_province","traffic_source","host","referrer","order_count","total_sales","Company.ID"
"12/24/2014","Oklahoma City","Oklahoma","Direct",NA,NA,1,990.96,"ID4090"
"12/24/2014","Santa Monica","California","Direct",NA,NA,1,680.04,"ID3308"
"12/24/2014","Springer","New Mexico","Direct",NA,NA,1,69.13,"ID4717"
"12/27/2014","Scottsdale","Arizona","Search Engine","google.com","www.google.com/url",1,872.6,"ID3860"
"12/28/2014","Kenmore","Washington","Search Engine","bing.com","www.bing.com/search",1,892.6,"ID2538"
"12/29/2014","Austin","Texas","Direct",NA,NA,1,1469.96,"ID5187"
"12/29/2014","Bear","Delaware","Direct",NA,NA,1,904.98,"ID1907"
"12/29/2014","Minneapolis","Minnesota","Direct",NA,NA,1,67.87,"ID5033"
"12/29/2014","Tustin","California","Direct",NA,NA,1,2441.65,"ID4176"
"12/29/2014","Jeffersonville","Indiana","Direct",NA,NA,1,960.99,"ID3078"
"12/29/2014","Morgan Hill","California","Direct","standdesk.co","www.standdesk.co/products/stand-desk",1,692.43,"ID3773"
"12/29/2014","Portland","Oregon","Direct","standdesk.co","standdesk.co",1,543.12,"ID1084"
"12/29/2014","Billings","Montana","Direct",NA,NA,1,610.04,"ID5188"
"12/29/2014","Towson","Maryland","Direct","standdesk.co","standdesk.co/account/login",1,3496.88,"ID4133"
"12/30/2014","Garden City","Idaho","Direct",NA,NA,1,1149.98,"ID4093"
"12/30/2014","Sherman Oaks","California","Direct",NA,NA,1,327.59,"ID4393"
"12/30/2014","Ann Arbor","Michigan","Direct","standdesk.co","standdesk.co/products/stand-desk",1,642.53,"ID2019"
"12/30/2014","Fremont","California","Direct","standdesk.co","standdesk.co/pages/bulk-order",1,2825.55,"ID3899"
"12/30/2014","San Francisco","California","Direct",NA,NA,1,2200.92,"ID4918"
"12/30/2014","Anaheim","California","Direct",NA,NA,1,2119.21,"ID3625"
"12/30/2014","Laura","Ohio","Direct",NA,NA,1,776.35,"ID1334"
"12/31/2014","Blaine","Washington","Direct","standdesk.co","www.standdesk.co/products/stand-desk",1,795.76,"ID5185"
"12/31/2014","Portland","Oregon","Direct",NA,NA,1,996.27,"ID3497"
"12/31/2014","Chesapeake","Virginia","Direct",NA,NA,1,765.69,"ID1412"
"12/31/2014","Portland","Oregon","Search Engine","google.com","www.google.com/url",1,1268.98,"ID3789"
"12/31/2014","San Diego","California","Direct",NA,NA,1,715.43,"ID1962"
"1/1/2015","Concord","Massachusetts","Search Engine","google.com","www.google.com",1,715.7,"ID5186"
"1/2/2015","Omaha","Nebraska","Direct",NA,NA,1,672.69,"ID2163"
"1/2/2015","Philadelphia","Pennsylvania","Search Engine","google.com","www.google.com/url",1,762.39,"ID2246"
"1/2/2015","Chicago","Illinois","Direct","standdesk.co","standdesk.co/products/stand-desk",1,2116.97,"ID1868"
"1/2/2015","San Francisco","California","Direct",NA,NA,1,555.91,"ID2537"
"1/5/2015","Boston","Massachusetts","Direct",NA,NA,1,896.25,"ID4087"
"1/5/2015","Billings","Montana","Direct",NA,NA,1,66.59,"ID2568"
"1/5/2015","Monterey Park","California","Direct","standdesk.co","standdesk.co/products/stand-desk",1,3057.82,"ID2569"
"1/5/2015","Madison","Wisconsin","Search Engine","google.com","www.google.com",1,638.17,"ID3237"
"1/6/2015","Shawnee Mission","Kansas","Direct",NA,NA,1,1419.96,"ID3537"
"1/6/2015","Arlington","Texas","Direct",NA,NA,1,134.69,"ID1613"
"1/7/2015","Cincinnati","Ohio","Direct",NA,NA,1,650.63,"ID2602"
"1/7/2015","Cleveland","Ohio","Direct","standdesk.co","standdesk.co/products/stand-desk",1,2904.88,"ID1908"
"1/7/2015","Morgan Hill","California","Direct",NA,NA,1,551.18,"ID3773"
"1/7/2015","Lake City","Minnesota","Direct","standdesk.co","standdesk.co/pages/bulk-order",1,452.26,"ID2201"
"1/8/2015","Bellevue","Washington","Direct",NA,NA,1,663.62,"ID1659"
"1/8/2015","Lancaster","California","Direct","standdesk.co","standdesk.co",1,704.35,"ID3498"
"1/8/2015","Chapel Hill","North Carolina","Direct","standdesk.co","standdesk.co/products/stand-desk",1,504.94,"ID3080"
"1/9/2015","Berkeley","California","Direct",NA,NA,1,1607.78,"ID1091"
"1/9/2015","West Henrietta","New York","Direct",NA,NA,1,720.62,"ID3041"
"1/9/2015","Boston","Massachusetts","Direct",NA,NA,1,2715.88,"ID4491"
"1/9/2015","Cary","North Carolina","Direct",NA,NA,1,916.24,"ID3859"
"1/9/2015","Saint Louis","Missouri","Direct",NA,NA,1,137.63,"ID3307"
"1/9/2015","Milpitas","California","Direct",NA,NA,1,553.18,"ID5220"
"1/9/2015","San Francisco","California","Direct",NA,NA,1,4859.21,"ID4707"
"1/10/2015","Philadelphia","Pennsylvania","Direct",NA,NA,1,504.94,"ID4759"
"1/11/2015","Matthews","North Carolina","Direct",NA,NA,1,454.95,"ID4395"
"1/11/2015","Seattle","Washington","Direct","standdesk.co","standdesk.co",1,484.83,"ID1374"
"1/11/2015","San Francisco","California","Search Engine","google.com","www.google.com",1,2313.02,"ID1053"
"1/11/2015","Phoenix","Arizona","Direct","standdesk.co","standdesk.co/products/stand-desk",1,494.57,"ID4360"
"1/12/2015","Studio City","California","Direct",NA,NA,1,704.35,"ID4393"
"1/12/2015","Washington","Washington Dc","Search Engine","google.com","www.google.com/url",1,650.63,"ID3234"
"1/12/2015","Fort Lauderdale","Florida","Direct",NA,NA,1,3050.52,"ID3119"
"1/12/2015","Portland","Oregon","Direct",NA,NA,1,478.77,"ID4919"
"1/13/2015","Louisville","Kentucky","Direct",NA,NA,1,820.96,"ID4634"
"1/13/2015","Ft Mitchell","Kentucky","Direct",NA,NA,1,211.04,"ID4636"
"1/13/2015","Boulder","Colorado","Direct",NA,NA,1,554.82,"ID4756"
"1/13/2015","Kingston","Massachusetts","Direct",NA,NA,1,720.62,"ID4917"
"1/14/2015","Bellingham","Washington","Direct",NA,NA,1,3806.8,"ID2994"
"1/14/2015","New York City","New York","Direct",NA,NA,1,468.99,"ID4363"
"1/14/2015","Portland","Oregon","Direct",NA,NA,1,810.54,"ID1612"
"1/14/2015","Carrboro","North Carolina","Direct",NA,NA,1,650.63,"ID2501"
"1/14/2015","Winston Salem","North Carolina","Direct","standdesk.co","standdesk.co",1,1011.78,"ID4092"
"1/14/2015","Menlo Park","California","Direct","standdesk.co","standdesk.co/products/stand-desk",1,3263.48,"ID5170"
"1/14/2015","Washington","District Of Columbia","Direct",NA,NA,1,936.49,"ID1611"
"1/15/2015","Arlington","Massachusetts","Direct","standdesk.co","standdesk.co/products/stand-desk",1,454.95,"ID2856"
"1/15/2015","Atlanta","Georgia","Search Engine","google.com","www.google.com/url",1,454.95,"ID2018"
"1/15/2015","Kings Mountain","North Carolina","Direct","standdesk.co","standdesk.co/products/stand-desk",1,2461.88,"ID2627"
"1/15/2015","Kalispell","Montana","Direct",NA,NA,1,621.87,"ID3483"
"1/15/2015","Rocklin","California","Unknown","officesnapshots.com","officesnapshots.com/2012/08/24/7-adjustable-height-desks-that-wont-betray-and-kill-you",1,695.31,"ID3120"
"1/15/2015","San Francisco","California","Direct",NA,NA,1,702.3,"ID1292"
"1/15/2015","New York City","New York","Direct","standdesk.co","standdesk.co",1,650.63,"ID1090"
"1/16/2015","Lewiston","Maine","Direct",NA,NA,1,650.63,"ID5028"
"1/16/2015","Los Angeles","California","Direct",NA,NA,1,628.92,"ID3081"
"1/16/2015","Palo Alto","California","Direct",NA,NA,1,6249.84,"ID5312"
"1/16/2015","Roslyn","New York","Direct",NA,NA,1,5718.76,"ID2857"
"1/16/2015","Chicago","Illinois","Search Engine","yahoo.com","r.search.yahoo.com/_ylt=A0LEVu.LXLlUcm0AqgElnIlQ;_ylu=X3oDMTBybnV2cXQwBHNlYwNzcgRwb3MDMgRjb2xvA2JmMQR2dGlkAw--/RV=2/RE=1421462795/RO=10/RU=http%3a%2f%2fstanddesk.co%2f/RK=0/RS=x3phzCfPQN9D0qnD0c56Mjhk6EY-",1,1378.96,"ID5031"
"1/17/2015","Port Jefferson","New York","Unknown","thewirecutter.com","thewirecutter.com/reviews/the-best-standing-desks",1,650.63,"ID1867"
"1/19/2015","Janesville","Wisconsin","Direct","standdesk.co","standdesk.co/pages/faq",1,780.42,"ID1293"
"1/19/2015","San Francisco","California","Search Engine","google.com","www.google.com",1,702.3,"ID4052"
"1/19/2015","Richmond","Virginia","Direct",NA,NA,1,454.95,"ID2625"
"1/20/2015","San Francisco","California","Direct",NA,NA,1,1536.78,"ID3293"
"1/20/2015","Garland","Texas","Direct","standdesk.co","standdesk.co/products/stand-desk",1,447.05,"ID3003"
"1/20/2015","San Francisco","California","Direct",NA,NA,1,924.07,"ID2762"
"1/20/2015","San Francisco","California","Search Engine","google.com","www.google.com/url",1,343.13,"ID4918"
"1/20/2015","Elizabeth","Colorado","Direct","standdesk.co","standdesk.co/cart",1,624.05,"ID1572"
"1/21/2015","Oakville","Ontario","Direct",NA,NA,1,2216.91,"ID4051"
